constraint_key,Set Key,Applies To,Check,Parameter,Threshold,Severity
ats-no-multi-column,ats-strict,doctype:cv-*,validate-ats-structure,columns,0,fail
ats-no-content-tables,ats-strict,doctype:cv-*,validate-ats-structure,tables_in_body,0,fail
ats-no-textbox,ats-strict,doctype:cv-*,validate-ats-structure,text_boxes,0,fail
ats-contact-in-body,ats-strict,doctype:cv-*,validate-ats-structure,header_footer_contact,0,fail
ats-no-symbol-glyphs,ats-strict,doctype:cv-*,validate-ats-structure,pua_bullet_glyphs,0,fail
ats-text-layer,ats-strict,doctype:cv-*,validate-text-layer,selectable_ratio,1.0,fail
ats-image-only-info,ats-strict,doctype:cv-*,validate-image-text-parity,unlabeled_images,0,warn
us-cv-length-under10y,us-cv-region,doctype:cv-us-*,validate-page-count,max_pages;condition=experience_years<10,1,warn
us-cv-length-10y-plus,us-cv-region,doctype:cv-us-*,validate-page-count,max_pages;condition=experience_years>=10,2,warn
us-cv-no-photo,us-cv-region,doctype:cv-us-*,validate-ats-structure,images_of_person,0,warn
us-cv-no-dob,us-cv-region,doctype:cv-us-*,validate-text-safe-fields,dob_field,0,warn
us-cv-no-marital-status,us-cv-region,doctype:cv-us-*,validate-text-safe-fields,marital_status_field,0,warn
uk-cv-length,uk-cv-region,doctype:cv-uk-*,validate-page-count,max_pages,2,warn
uk-cv-no-photo,uk-cv-region,doctype:cv-uk-*,validate-ats-structure,images_of_person,0,warn
eu-cv-length,eu-cv-region,doctype:cv-eu-*,validate-page-count,max_pages,3,warn
gulf-cv-length,gulf-cv-region,doctype:cv-gulf-*,validate-page-count,max_pages,2,warn
gulf-cv-photo-expected,gulf-cv-region,doctype:cv-gulf-*,validate-ats-structure,images_of_person;direction=min,1,warn
proj-body-floor,projection,artifact-class:canvas,validate-type-floor,medium=projection;role=body,24,warn
proj-body-dense-floor,projection,artifact-class:canvas,validate-type-floor,medium=projection;role=body-dense,18,warn
proj-title-floor,projection,artifact-class:canvas,validate-type-floor,medium=projection;role=h1,36,warn
screen-body-floor,screen,artifact-class:canvas,validate-type-floor,medium=screen;role=body,18,warn
deck-density-bullets,projection,artifact-class:canvas,validate-density,bullets_per_slide,6,warn
deck-density-words,projection,artifact-class:canvas,validate-density,words_per_bullet,6,warn
