canonical_section,heading_text,language,is_primary,source
experience,Experience,en,yes,report 03 §A
experience,Work Experience,en,no,report 03 §A
experience,Employment History,en,no,report 03 §A
experience,Professional Experience,en,no,convention (résumé-writing convention; not explicitly named in report 03)
experience,Career History,en,no,convention (résumé-writing convention; not explicitly named in report 03)
education,Education,en,yes,report 03 §A
education,Education and Training,en,no,convention (Europass-influenced wording; not in report 03)
education,Academic Background,en,no,convention (not in report 03)
skills,Skills,en,yes,report 03 §A
skills,Core Competencies,en,no,convention (not in report 03)
skills,Technical Skills,en,no,convention (not in report 03)
skills,Key Skills,en,no,convention (not in report 03)
summary,Summary,en,yes,convention (not in report 03; report 03 discusses summary content in §A but does not name a canonical heading string)
summary,Professional Summary,en,no,convention (not in report 03)
summary,Profile,en,no,convention (UK-common; not in report 03)
summary,Career Objective,en,no,convention (dated but still recognized; not in report 03)
summary,Personal Statement,en,no,convention (UK-common; not in report 03)
certifications,Certifications,en,yes,report 03 §A
certifications,Licenses and Certifications,en,no,convention (not in report 03)
certifications,Certifications and Licenses,en,no,convention (not in report 03)
projects,Projects,en,yes,convention (not in report 03)
projects,Key Projects,en,no,convention (not in report 03)
projects,Selected Projects,en,no,convention (not in report 03)
publications,Publications,en,yes,convention (not in report 03)
publications,Selected Publications,en,no,convention (not in report 03)
languages,Languages,en,yes,convention (not in report 03)
languages,Language Skills,en,no,convention (not in report 03)
contact,Contact,en,yes,convention (not in report 03)
contact,Contact Information,en,no,convention (not in report 03)
contact,Personal Details,en,no,convention (UK/EU-common; not in report 03)
contact,Personal Information,en,no,convention (Europass wording; not in report 03)
references,References,en,yes,convention (not in report 03)
references,Professional References,en,no,convention (not in report 03)
volunteering,Volunteer Experience,en,yes,convention (not in report 03)
volunteering,Volunteering,en,no,convention (not in report 03)
volunteering,Community Involvement,en,no,convention (not in report 03)
volunteering,Volunteer Work,en,no,convention (not in report 03)
experience,Expérience professionnelle,fr,yes,convention (general FR résumé convention; not in report 03; added for Luxembourg pilot)
experience,Expérience,fr,no,convention (not in report 03)
education,Formation,fr,yes,convention (not in report 03)
education,Formation et diplômes,fr,no,convention (not in report 03)
education,Études,fr,no,convention (not in report 03)
skills,Compétences,fr,yes,convention (not in report 03)
skills,Compétences techniques,fr,no,convention (not in report 03)
summary,Profil,fr,yes,convention (not in report 03)
summary,Accroche,fr,no,convention (distinct French CV convention — short pitch line; not in report 03)
summary,Objectif,fr,no,convention (dated; not in report 03)
certifications,Certifications,fr,yes,convention (not in report 03)
certifications,Certifications professionnelles,fr,no,convention (not in report 03)
projects,Projets,fr,yes,convention (not in report 03)
publications,Publications,fr,yes,convention (not in report 03)
languages,Langues,fr,yes,convention (not in report 03)
contact,Coordonnées,fr,yes,convention (not in report 03)
contact,Contact,fr,no,convention (not in report 03)
contact,État civil,fr,no,convention (traditional/formal personal-details block; not in report 03)
references,Références,fr,yes,convention (not in report 03)
volunteering,Bénévolat,fr,yes,convention (not in report 03)
volunteering,Engagement associatif,fr,no,"convention — common in ASBL-adjacent contexts; not in report 03"
volunteering,Expérience associative,fr,no,convention (not in report 03)
experience,Berufserfahrung,de,yes,convention (general DE résumé convention; not in report 03; added for Luxembourg pilot)
experience,Beruflicher Werdegang,de,no,convention (not in report 03)
education,Ausbildung,de,yes,convention (not in report 03)
education,Bildungsweg,de,no,convention (not in report 03)
skills,Kenntnisse,de,yes,convention (not in report 03)
skills,Fähigkeiten,de,no,convention (not in report 03)
skills,Kompetenzen,de,no,convention (not in report 03)
summary,Profil,de,yes,convention (not in report 03)
summary,Kurzprofil,de,no,convention (not in report 03)
summary,Persönliches Profil,de,no,convention (not in report 03)
certifications,Zertifikate,de,yes,convention (not in report 03)
certifications,Zertifizierungen,de,no,convention (not in report 03)
projects,Projekte,de,yes,convention (not in report 03)
publications,Publikationen,de,yes,convention (not in report 03)
languages,Sprachkenntnisse,de,yes,convention (not in report 03)
languages,Sprachen,de,no,convention (not in report 03)
contact,Kontakt,de,yes,convention (not in report 03)
contact,Persönliche Daten,de,no,"convention — traditional Lebenslauf personal-data block; not in report 03"
contact,Kontaktdaten,de,no,convention (not in report 03)
references,Referenzen,de,yes,convention (not in report 03)
volunteering,Ehrenamtliches Engagement,de,yes,convention (not in report 03)
volunteering,Ehrenamt,de,no,convention (not in report 03)
