proprietary_family,Substitute Family,Lineage,Licence,Metric Identical
Arial,Liberation Sans,liberation,OFL-1.1,yes
Arial,Arimo,croscore,Apache-2.0,yes
Times New Roman,Liberation Serif,liberation,OFL-1.1,yes
Times New Roman,Tinos,croscore,Apache-2.0,yes
Courier New,Liberation Mono,liberation,OFL-1.1,yes
Courier New,Cousine,croscore,Apache-2.0,yes
Calibri,Carlito,crosextra,OFL-1.1,yes
Cambria,Caladea,crosextra,OFL-1.1,yes
Candara,,none,none,
Corbel,,none,none,
Constantia,,none,none,
Consolas,,none,none,
Georgia,Gelasio,other,OFL-1.1,yes
Verdana,,none,none,
Trebuchet MS,,none,none,
Source Serif 4,Georgia,independent,none,no
PT Serif,Times New Roman,independent,none,no
IBM Plex Sans,Arial,independent,none,no
Fraunces,Georgia,independent,none,no
