canonical_section,heading_text,language,is_primary,source
quote-for,Quote For,en,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-for,Devis pour,fr,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-for,Angebot für,de,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-details,Quote Details,en,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-details,Détail du devis,fr,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-details,Angebotsdetails,de,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
validity,Valid Until,en,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
validity,Date de validité,fr,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
validity,Gültig bis,de,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
acceptance,Acceptance,en,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
acceptance,Bon pour accord,fr,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
acceptance,Annahme,de,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-issuer,From,en,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-issuer,Émetteur,fr,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
quote-issuer,Anbieter,de,yes,"convention (quote-specific wording chosen so a quote does not inherit invoice headings; not from a fetched source)"
