id,name,url,preview_url,pages
ARC25:007,"Aktif Bank - Shining Values, Empowered Tomorrows",https://www.aktifbank.com.tr/api/uploads/2025061915353851523.pdf,https://www.aktifbank.com.tr/api/uploads/2025061915353851523.pdf#page=1,1;3
ARC25:010,Urban Renewal Authority - Annual Report 2023-24,https://www.ura.org.hk/f/publication/7523/URA_annual_report_2023-2024_ENG.pdf,https://www.ura.org.hk/f/publication/7523/URA_annual_report_2023-2024_ENG.pdf#page=1,1;7
ARC25:011,"Petronas Gas - Catalysing Growth, Shaping Tomorrow (Integrated Report 2024)",https://www.petronas.com/pgb/sites/default/files/2025-03/PGB%20Integrated%20Report%202024.pdf,https://www.petronas.com/pgb/sites/default/files/2025-03/PGB%20Integrated%20Report%202024.pdf#page=1,1;2
ARC25:012,Fast Retailing - Integrated Report 2024,https://www.fastretailing.com/eng/ir/library/pdf/ar2024_en_sp.pdf,https://www.fastretailing.com/eng/ir/library/pdf/ar2024_en_sp.pdf#page=1,1;5
ARC25:013,Hongkong & Shanghai Hotels - Annual Report 2024,https://www.hshgroup.com/-/media/files/hsh/investors/financial-results/2024/2024-annual-report-en.pdf,https://www.hshgroup.com/-/media/files/hsh/investors/financial-results/2024/2024-annual-report-en.pdf#page=1,1;2
ARC25:014,"ADCB - 2024 Annual Report, Beyond the Finish Line",https://www.adcb.com/en/multimedia/pdfs/2025/february/adcb-2024-annual-report-english.pdf,https://www.adcb.com/en/multimedia/pdfs/2025/february/adcb-2024-annual-report-english.pdf#page=1,1;11
ARC25:018,Petronas Dagangan - Thriving Forward (Integrated Report 2024),https://www.mymesra.com.my/integrated-report-2024/images/downloads/Petronas_Dagangan_Berhad_IR24.pdf,https://www.mymesra.com.my/integrated-report-2024/images/downloads/Petronas_Dagangan_Berhad_IR24.pdf#page=1,1;2
ARC25:020,California Water Service Group - Vision to Action (2024 Summary Annual Report),https://www.calwatergroup.com/_assets/_79993305ff43daa98d0fec842002d64b/calwatergroup/db/2510/24333/annual_report/2024+AR+final+-+single+pages.pdf,https://www.calwatergroup.com/_assets/_79993305ff43daa98d0fec842002d64b/calwatergroup/db/2510/24333/annual_report/2024+AR+final+-+single+pages.pdf#page=1,1;32
ARC25:021,Halkbank - Integrated Annual Report 2024,https://www.halkbank.com.tr/content/dam/corporate-website/en/documents/investor-relations/annual-reports/2024-Annual-report.pdf,https://www.halkbank.com.tr/content/dam/corporate-website/en/documents/investor-relations/annual-reports/2024-Annual-report.pdf#page=1,1;11
ARC25:024,Mission Investment Fund - Many Pieces. One Purpose. (2024 Annual Report),https://www.mif.elca.org/s/MIF40725_AnnualReport_2025_R4_nocrops.pdf,https://www.mif.elca.org/s/MIF40725_AnnualReport_2025_R4_nocrops.pdf#page=1,1;2
ARC25:029,GRAWE Bankengruppe - Yearbook 2025,https://www.grawe-bankengruppe.at/media/file/2267_sectiond_GRAWE_BG_Yearbook_2025_KERN_ENG_FIN_WEB.pdf,https://www.grawe-bankengruppe.at/media/file/2267_sectiond_GRAWE_BG_Yearbook_2025_KERN_ENG_FIN_WEB.pdf#page=1,1;10
ARC25:033,Banca March - Annual Report 2023,https://www.bancamarch.es/informe-anual-2023/en/downloads/BancaMarch_AnnualReport_2023.pdf,https://www.bancamarch.es/informe-anual-2023/en/downloads/BancaMarch_AnnualReport_2023.pdf#page=1,1;5
ARC25:036,Granite Construction - Sustainability Value Add (2024 Sustainability Report),https://www.graniteconstruction.com/sites/default/files/Granite_2024_Sustainability_Report.pdf,https://www.graniteconstruction.com/sites/default/files/Granite_2024_Sustainability_Report.pdf#page=1,1;4
ARC25:037,Uzabase - Sustainability Report 2024,https://files.microcms-assets.io/assets/c3cd69bb37354c7585915b242fdd0236/e90aa8a3bb4f4967967e83bd217eeca3/Uzabase_Sustainability%20Report_2024_EN.pdf,https://files.microcms-assets.io/assets/c3cd69bb37354c7585915b242fdd0236/e90aa8a3bb4f4967967e83bd217eeca3/Uzabase_Sustainability%20Report_2024_EN.pdf#page=1,1;5
