palette_key,Display Name,Keywords,Brand Scope,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Muted,On Muted,Rule Hair,Rule Strong,Rule Brand,Text-Safe Roles,Fill-Only Roles,Category Marker Roles
lib-govuk-ink,"GOV.UK, ink & blue","government, trustworthy, public sector, civic, navy, ink",generic,#0b0c0c,#ffffff,#484949,#ffffff,#1d70b8,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#1d70b8,foreground;primary;secondary;accent,muted,
lib-uswds-navy,"USWDS, navy ink","government, federal, trustworthy, navy, official",generic,#1b1b1b,#ffffff,#565c65,#ffffff,#005ea2,#ffffff,#ffffff,#1b1b1b,#dfe1e2,#1b1b1b,#a9aeb1,#1b1b1b,#005ea2,foreground;primary;secondary;accent,muted,
lib-atlassian-ink,"Atlassian, neutral ink","tech, saas, product, navy, enterprise software",generic,#292A2E,#FFFFFF,#505258,#FFFFFF,#1868DB,#FFFFFF,#FFFFFF,#292A2E,#F0F1F2,#505258,#8C8F97,#292A2E,#1868DB,foreground;primary;secondary;accent,muted,
lib-carbon-mono,"IBM Carbon, monochrome","monochrome, tech, enterprise, neutral, black on white",generic,#161616,#ffffff,#525252,#ffffff,,,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#161616,foreground;primary;secondary,muted,
lib-govuk-forest,"GOV.UK, forest green","government, health, environment, sustainability, forest, green",generic,#0b0c0c,#ffffff,#484949,#ffffff,#0f7a52,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#0f7a52,foreground;primary;secondary;accent,muted,
lib-carbon-forest,"IBM Carbon, forest green","tech, sustainability, environment, forest, green, enterprise",generic,#161616,#ffffff,#525252,#ffffff,#198038,#ffffff,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#198038,foreground;primary;secondary;accent,muted,
lib-govuk-burgundy,"GOV.UK, burgundy red","government, legal, finance, error, burgundy, red, formal",generic,#0b0c0c,#ffffff,#484949,#ffffff,#ca3535,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#ca3535,foreground;primary;secondary;accent,muted,
lib-radix-burgundy,"Radix Colors, burgundy","burgundy, red, bold, creative, tech, warm",generic,#641723,#ffffff,#ce2c31,#ffffff,,,#fffcfc,#641723,#feebec,#641723,#fdbdbe,#641723,#641723,foreground;primary;secondary,muted,
lib-fluent-burgundy,"Fluent 2, burgundy","burgundy, red, enterprise, tech, bold, formal",generic,#242424,#ffffff,#333333,#ffffff,#a4262c,#ffffff,#ffffff,#242424,#f0f0f0,#242424,#ebebeb,#242424,#a4262c,foreground;primary;secondary;accent,muted,
lib-carbon-teal,"IBM Carbon, teal","teal, healthcare, tech, calm, trust",generic,#161616,#ffffff,#525252,#ffffff,#007d79,#ffffff,#ffffff,#161616,#f4f4f4,#161616,#e0e0e0,#161616,#007d79,foreground;primary;secondary;accent,muted,
lib-govuk-teal,"GOV.UK, teal","government, health, teal, public sector, calm",generic,#0b0c0c,#ffffff,#484949,#ffffff,#158187,#ffffff,#ffffff,#0b0c0c,#f4f8fb,#0b0c0c,#cecece,#0b0c0c,#158187,foreground;primary;secondary;accent,muted,
lib-tailwind-sand,"Tailwind, warm sand","warm neutral, sand, creative, nonprofit, editorial",generic,#1c1917,#ffffff,#44403c,#ffffff,#b45309,#ffffff,#fafaf9,#1c1917,#e7e5e4,#1c1917,#d6d3d1,#1c1917,#b45309,foreground;primary;secondary;accent,muted,
