palette_key,Display Name,Keywords,Brand Scope,Primary,On Primary,Secondary,On Secondary,Accent,On Accent,Background,Foreground,Muted,On Muted,Rule Hair,Rule Strong,Rule Brand,Text-Safe Roles,Fill-Only Roles,Category Marker Roles
lib-cl-r6-orange,"CL-ranked #6, warm orange accent","warm, mid-tone, orange",generic,#031634,#ffffff,#036564,#ffffff,#cdb380,#031634,#ffffff,#031634,#f2f2f2,#031634,#CCCCCC,#031634,#cdb380,foreground;primary;secondary,muted;accent,
lib-cl-r13-lime,"CL-ranked #13, warm lime accent","warm, mid-tone, lime",generic,#1c140d,#ffffff,#f2e9e1,#1c140d,#cbe86b,#1c140d,#ffffff,#1c140d,#f2f2f2,#1c140d,#CCCCCC,#1c140d,#cbe86b,foreground;primary,muted;accent;secondary,
lib-cl-r14-red,"CL-ranked #14, warm red accent","warm, mid-tone, red",generic,#2e2633,#ffffff,#dce9be,#2e2633,#99173c,#ffffff,#efffcd,#2e2633,#f2f2f2,#2e2633,#CCCCCC,#2e2633,#99173c,foreground;primary;accent,muted;secondary,
lib-cl-r21-red,"CL-ranked #21, warm red accent","warm, mid-tone, red",generic,#351330,#ffffff,#64908a,#351330,#cc2a41,#ffffff,#ffffff,#351330,#f2f2f2,#351330,#CCCCCC,#351330,#cc2a41,foreground;primary;accent,muted;secondary,
lib-cl-r33-neutral,"CL-ranked #33, mid-tone neutral","neutral, mid-tone, neutral",generic,#36393b,#ffffff,#696758,#ffffff,,,#ffffff,#36393b,#c5bc8e,#36393b,#CCCCCC,#36393b,,foreground;primary;secondary,muted,
lib-cl-r49-orange,"CL-ranked #49, warm orange accent","warm, mid-tone, orange",generic,#2a2c31,#ffffff,#5a2e2e,#ffffff,#dfba69,#2a2c31,#fffedf,#2a2c31,#f2f2f2,#2a2c31,#CCCCCC,#2a2c31,#dfba69,foreground;primary;secondary,muted;accent,
lib-cl-r60-neutral,"CL-ranked #60, mid-tone neutral","warm, mid-tone, neutral",generic,#3a111c,#ffffff,#83988e,#3a111c,,,#ffffff,#3a111c,#bcdea5,#3a111c,#CCCCCC,#3a111c,,foreground;primary,muted;secondary,
lib-cl-r65-neutral,"CL-ranked #65, mid-tone neutral","neutral, mid-tone, neutral",generic,#1a1f1e,#ffffff,#93ccc6,#1a1f1e,,,#ffffff,#1a1f1e,#c8d6bf,#1a1f1e,#CCCCCC,#1a1f1e,,foreground;primary,muted;secondary,
lib-cl-r90-neutral,"CL-ranked #90, mid-tone neutral","warm, mid-tone, neutral",generic,#4f2958,#ffffff,#66b6ab,#4f2958,,,#ffffff,#4f2958,#a6f6af,#4f2958,#CCCCCC,#4f2958,,foreground;primary,muted;secondary,
lib-cl-r108-red,"CL-ranked #108, warm red accent","warm, light, red",generic,#312736,#ffffff,#d9d9d9,#312736,#d4838f,#312736,#ffffff,#312736,#d6abb1,#312736,#CCCCCC,#312736,#d4838f,foreground;primary,muted;accent;secondary,
lib-cl-r116-red,"CL-ranked #116, warm red accent","warm, mid-tone, red",generic,#292522,#ffffff,#a39081,#292522,#d6a692,#292522,#ffffff,#292522,#f2f2f2,#292522,#CCCCCC,#292522,#d6a692,foreground;primary,muted;accent;secondary,
lib-cl-r121-neutral,"CL-ranked #121, mid-tone neutral","warm, mid-tone, neutral",generic,#512b52,#ffffff,#7bb0a8,#512b52,,,#ffffff,#512b52,#a7dbab,#512b52,#CCCCCC,#512b52,,foreground;primary,muted;secondary,
lib-cl-r124-neutral,"CL-ranked #124, light neutral","cool, light, neutral",generic,#142f30,#ffffff,#ffd6a3,#142f30,,,#fdffd9,#142f30,#fff0b8,#142f30,#CCCCCC,#142f30,,foreground;primary,muted;secondary,
lib-cl-r134-neutral,"CL-ranked #134, light neutral","cool, light, neutral",generic,#2e4347,#ffffff,#f5df98,#2e4347,,,#fff8d4,#2e4347,#c0d1c2,#2e4347,#CCCCCC,#2e4347,,foreground;primary,muted;secondary,
lib-cl-r136-neutral,"CL-ranked #136, mid-tone neutral","neutral, mid-tone, neutral",generic,#000000,#ffffff,#7db4b5,#000000,,,#ffffff,#000000,#e0eff1,#000000,#CCCCCC,#000000,,foreground;primary,muted;secondary,
