scale_row_key,scale_key,Medium,Role,Size pt,Leading Ratio
lib-minor-third-print-print-label,lib-minor-third-print,print,label,9,1.20
lib-minor-third-print-print-caption,lib-minor-third-print,print,caption,9,1.20
lib-minor-third-print-print-body,lib-minor-third-print,print,body,11,1.35
lib-minor-third-print-print-h3,lib-minor-third-print,print,h3,13,1.20
lib-minor-third-print-print-h2,lib-minor-third-print,print,h2,16,1.20
lib-minor-third-print-print-h1,lib-minor-third-print,print,h1,19,1.20
lib-minor-third-screen-screen-label,lib-minor-third-screen,screen,label,9,1.20
lib-minor-third-screen-screen-caption,lib-minor-third-screen,screen,caption,9,1.20
lib-minor-third-screen-screen-body,lib-minor-third-screen,screen,body,11,1.35
lib-minor-third-screen-screen-h3,lib-minor-third-screen,screen,h3,13,1.20
lib-minor-third-screen-screen-h2,lib-minor-third-screen,screen,h2,16,1.20
lib-minor-third-screen-screen-h1,lib-minor-third-screen,screen,h1,19,1.20
lib-minor-third-projection-projection-body-dense,lib-minor-third-projection,projection,body-dense,20,1.25
lib-minor-third-projection-projection-body,lib-minor-third-projection,projection,body,24,1.25
lib-minor-third-projection-projection-h1,lib-minor-third-projection,projection,h1,41.5,1.10
lib-major-third-print-print-label,lib-major-third-print,print,label,9,1.20
lib-major-third-print-print-caption,lib-major-third-print,print,caption,9,1.20
lib-major-third-print-print-body,lib-major-third-print,print,body,11,1.35
lib-major-third-print-print-h3,lib-major-third-print,print,h3,14,1.20
lib-major-third-print-print-h2,lib-major-third-print,print,h2,17,1.20
lib-major-third-print-print-h1,lib-major-third-print,print,h1,21.5,1.20
lib-major-third-screen-screen-label,lib-major-third-screen,screen,label,9,1.20
lib-major-third-screen-screen-caption,lib-major-third-screen,screen,caption,9,1.20
lib-major-third-screen-screen-body,lib-major-third-screen,screen,body,11,1.35
lib-major-third-screen-screen-h3,lib-major-third-screen,screen,h3,14,1.20
lib-major-third-screen-screen-h2,lib-major-third-screen,screen,h2,17,1.20
lib-major-third-screen-screen-h1,lib-major-third-screen,screen,h1,21.5,1.20
lib-major-third-projection-projection-body-dense,lib-major-third-projection,projection,body-dense,19,1.25
lib-major-third-projection-projection-body,lib-major-third-projection,projection,body,24,1.25
lib-major-third-projection-projection-h1,lib-major-third-projection,projection,h1,47,1.10
lib-perfect-fourth-print-print-label,lib-perfect-fourth-print,print,label,8.5,1.20
lib-perfect-fourth-print-print-caption,lib-perfect-fourth-print,print,caption,8.5,1.20
lib-perfect-fourth-print-print-body,lib-perfect-fourth-print,print,body,11,1.35
lib-perfect-fourth-print-print-h3,lib-perfect-fourth-print,print,h3,14.5,1.20
lib-perfect-fourth-print-print-h2,lib-perfect-fourth-print,print,h2,19.5,1.20
lib-perfect-fourth-print-print-h1,lib-perfect-fourth-print,print,h1,26,1.20
lib-perfect-fourth-screen-screen-label,lib-perfect-fourth-screen,screen,label,8.5,1.20
lib-perfect-fourth-screen-screen-caption,lib-perfect-fourth-screen,screen,caption,8.5,1.20
lib-perfect-fourth-screen-screen-body,lib-perfect-fourth-screen,screen,body,11,1.35
lib-perfect-fourth-screen-screen-h3,lib-perfect-fourth-screen,screen,h3,14.5,1.20
lib-perfect-fourth-screen-screen-h2,lib-perfect-fourth-screen,screen,h2,19.5,1.20
lib-perfect-fourth-screen-screen-h1,lib-perfect-fourth-screen,screen,h1,26,1.20
lib-perfect-fourth-projection-projection-body-dense,lib-perfect-fourth-projection,projection,body-dense,18,1.25
lib-perfect-fourth-projection-projection-body,lib-perfect-fourth-projection,projection,body,24,1.25
lib-perfect-fourth-projection-projection-h1,lib-perfect-fourth-projection,projection,h1,57,1.10
