prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
designs:cv-serif-plain-centered:1,designs,cv-serif-plain-centered,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.200 (8/40),2026-09-23,fetched
designs:cv-serif-plain-centered:2,designs,cv-serif-plain-centered,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.050 (2/40),2026-09-23,fetched
designs:cv-eu-europass:1,designs,cv-eu-europass,authority,Europass -- Create your CV (official),https://europass.europa.eu/en/create-europass-cv,authority:doc,,2026-09-23,fetched
designs:cv-eu-europass:2,designs,cv-eu-europass,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.125 (5/40),2026-09-23,fetched
designs:cv-eu-europass:3,designs,cv-eu-europass,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.075 (3/40),2026-09-23,fetched
designs:cv-sans-accent-ruled:1,designs,cv-sans-accent-ruled,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.150 (6/40),2026-09-23,fetched
designs:cv-sans-mono-split:1,designs,cv-sans-mono-split,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.100 (4/40),2026-09-23,fetched
designs:cv-ats-strict:1,designs,cv-ats-strict,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.025 (1/40),2026-09-23,fetched
designs:cv-ats-strict:2,designs,cv-ats-strict,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.075 (3/40),2026-09-23,fetched
designs:cv-serif-accent-plain-left:1,designs,cv-serif-accent-plain-left,ranked,GH(resume+template) stars-desc search,https://api.github.com/search/repositories?q=resume+template&sort=stars&order=desc&per_page=100,share:GH:k/40 by stars,0.050 (2/40),2026-09-23,fetched
designs:cv-serif-accent-plain-left:2,designs,cv-serif-accent-plain-left,ranked,NPM(jsonresume-theme) downloads.monthly search,https://registry.npmjs.org/-/v1/search?text=jsonresume-theme&size=250,share:NPM:k/40 by downloads.monthly,0.025 (1/40),2026-09-23,fetched
