prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
palettes:mono-ink:1,palettes,mono-ink,convention,,,,,2026-09-23,
palettes:brand-accent-print:1,palettes,brand-accent-print,convention,,,,,2026-09-23,
palettes:print-neutral:1,palettes,print-neutral,convention,,,,,2026-09-23,
palettes:deck-high-contrast:1,palettes,deck-high-contrast,convention,,,,,2026-09-23,
palettes:cv-harvard:1,palettes,cv-harvard,authority,USWDS system colour tokens,https://designsystem.digital.gov/design-tokens/color/system-tokens/,,,2026-09-23,search-corroborated
palettes:cv-dach-formal:1,palettes,cv-dach-formal,authority,GOV.UK Design System colour,https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,search-corroborated
palettes:cv-europass:1,palettes,cv-europass,authority,GOV.UK Design System colour,https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,search-corroborated
palettes:cv-editorial:1,palettes,cv-editorial,authority,IBM Carbon colour overview,https://carbondesignsystem.com/elements/color/overview/,,,2026-09-23,search-corroborated
typefaces:safe-sans-arial:1,typefaces,safe-sans-arial,convention,,,,,2026-09-23,
typefaces:safe-serif-times:1,typefaces,safe-serif-times,convention,,,,,2026-09-23,
typefaces:safe-serif-georgia:1,typefaces,safe-serif-georgia,convention,,,,,2026-09-23,
typefaces:safe-sans-deck:1,typefaces,safe-sans-deck,convention,,,,,2026-09-23,
typefaces:safe-sans-infographic:1,typefaces,safe-sans-infographic,convention,,,,,2026-09-23,
typefaces:ofl-source-sans-serif:1,typefaces,ofl-source-sans-serif,authority,"google/fonts repository (font files and LICENSE, licence + fsType checked per file)",https://github.com/google/fonts,,,2026-09-23,fetched
typefaces:ofl-plex-superfamily:1,typefaces,ofl-plex-superfamily,authority,"google/fonts repository (font files and LICENSE, licence + fsType checked per file)",https://github.com/google/fonts,,,2026-09-23,fetched
typefaces:ofl-public-sans:1,typefaces,ofl-public-sans,authority,"google/fonts repository (font files and LICENSE, licence + fsType checked per file)",https://github.com/google/fonts,,,2026-09-23,fetched
typefaces:ofl-roboto-slab:1,typefaces,ofl-roboto-slab,authority,"google/fonts repository (font files and LICENSE, licence + fsType checked per file)",https://github.com/google/fonts,,,2026-09-23,fetched
typefaces:source-serif-sans:1,typefaces,source-serif-sans,authority,adobe-fonts/source-serif README,https://github.com/adobe-fonts/source-serif,,,2026-09-23,fetched
typefaces:pt-serif-sans:1,typefaces,pt-serif-sans,authority,Typewolf - PT Serif (suggested pairing PT Serif + PT Sans),https://www.typewolf.com/pt-serif,,,2026-09-23,fetched
typefaces:ibm-plex-sans:1,typefaces,ibm-plex-sans,convention,,,,,2026-09-23,
typefaces:fraunces-work-sans:1,typefaces,fraunces-work-sans,authority,Typewolf - Fraunces page (illustrative pairings),https://www.typewolf.com/fraunces,,,2026-09-23,fetched
doc-styles:cv-restrained:1,doc-styles,cv-restrained,convention,,,,,2026-09-23,
doc-styles:cv-academic-plain:1,doc-styles,cv-academic-plain,convention,,,,,2026-09-23,
doc-styles:letter-restrained:1,doc-styles,letter-restrained,convention,,,,,2026-09-23,
doc-styles:letter-formal-grid:1,doc-styles,letter-formal-grid,convention,,,,,2026-09-23,
doc-styles:memo-plain:1,doc-styles,memo-plain,convention,,,,,2026-09-23,
doc-styles:form-grid-underline:1,doc-styles,form-grid-underline,convention,,,,,2026-09-23,
doc-styles:marketing-print-bold:1,doc-styles,marketing-print-bold,convention,,,,,2026-09-23,
doc-styles:infographic-bold:1,doc-styles,infographic-bold,convention,,,,,2026-09-23,
doc-styles:report-classic-serif:1,doc-styles,report-classic-serif,convention,,,,,2026-09-23,
