prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
palettes:lib-govuk-ink:1,palettes,lib-govuk-ink,authority,"GOV.UK Design System colours: text #0b0c0c, secondary text #484949, border #cecece, template background #f4f8fb, blue (brand) #1d70b8",https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,fetched
palettes:lib-uswds-navy:1,palettes,lib-uswds-navy,authority,"USWDS theme tokens: base-darkest #1b1b1b, base-dark #565c65, base-lighter #dfe1e2, base-light #a9aeb1, primary blue-60v #005ea2",https://designsystem.digital.gov/design-tokens/color/theme-tokens/,,,2026-09-23,fetched
palettes:lib-atlassian-ink:1,palettes,lib-atlassian-ink,authority,"Atlassian Design System tokens: text #292A2E, text-subtle #505258, border-input #8C8F97, background-code-gutter #F0F1F2, text-brand/link #1868DB",https://atlassian.design/DESIGN.md,,,2026-09-23,fetched
palettes:lib-carbon-mono:1,palettes,lib-carbon-mono,authority,"IBM Carbon color tokens: Gray 100 #161616, Gray 70 #525252, Gray 20 #e0e0e0, Gray 10 #f4f4f4",https://raw.githubusercontent.com/carbon-design-system/carbon/main/packages/colors/src/dtcg/colors.json,,,2026-09-23,fetched
palettes:lib-govuk-forest:1,palettes,lib-govuk-forest,authority,"GOV.UK Design System colours: text #0b0c0c, secondary text #484949, green (success/web palette) #0f7a52",https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,fetched
palettes:lib-carbon-forest:1,palettes,lib-carbon-forest,authority,"IBM Carbon color tokens: Gray 100 #161616, Gray 70 #525252, Green 60 #198038",https://raw.githubusercontent.com/carbon-design-system/carbon/main/packages/colors/src/dtcg/colors.json,,,2026-09-23,fetched
palettes:lib-govuk-burgundy:1,palettes,lib-govuk-burgundy,authority,"GOV.UK Design System colours: text #0b0c0c, secondary text #484949, red (error/web palette) #ca3535",https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,fetched
palettes:lib-radix-burgundy:1,palettes,lib-radix-burgundy,authority,"Radix Colors red scale (light theme): red-12 #641723, red-11 #ce2c31, red-6 #fdbdbe, red-3 #feebec, red-1 #fffcfc",https://www.radix-ui.com/colors/docs/palette-composition/scales,,,2026-09-23,fetched
palettes:lib-fluent-burgundy:1,palettes,lib-fluent-burgundy,authority,"Fluent UI shared color tokens: grey14 #242424, grey20 #333333, grey92 #ebebeb, grey94 #f0f0f0, burgundy (primary) #a4262c",https://raw.githubusercontent.com/microsoft/fluentui/master/packages/tokens/src/global/colors.ts,,,2026-09-23,fetched
palettes:lib-carbon-teal:1,palettes,lib-carbon-teal,authority,"IBM Carbon color tokens: Gray 100 #161616, Gray 70 #525252, Teal 60 #007d79",https://raw.githubusercontent.com/carbon-design-system/carbon/main/packages/colors/src/dtcg/colors.json,,,2026-09-23,fetched
palettes:lib-govuk-teal:1,palettes,lib-govuk-teal,authority,"GOV.UK Design System colours: text #0b0c0c, secondary text #484949, teal (web palette) #158187",https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,fetched
palettes:lib-tailwind-sand:1,palettes,lib-tailwind-sand,authority,"Tailwind CSS default palette: stone-900 #1c1917, stone-700 #44403c, stone-300 #d6d3d1, stone-200 #e7e5e4, stone-50 #fafaf9, amber-700 #b45309",https://unpkg.com/tailwindcss@3.4.1/lib/public/colors.js,,,2026-09-23,fetched
palettes:lib-radix-sand:1,palettes,lib-radix-sand,authority,"Radix Colors sand + bronze scales (light theme): sand-12 #21201c, sand-11 #63635e, sand-6 #dad9d6, sand-3 #f1f0ef, sand-1 #fdfdfc, bronze-11 #7d5e54",https://www.radix-ui.com/colors/docs/palette-composition/scales,,,2026-09-23,fetched
palettes:lib-material3-purple:1,palettes,lib-material3-purple,authority,"Material Design 3 baseline color roles: on-surface #1C1B1F, on-surface-variant #49454F, surface #FFFBFE, surface-variant #E7E0EC, outline-variant #CAC4D0, primary #6750A4 (search-corroborated: m3.material.io color roles/system pages are client-rendered, JS-hydrated, not statically fetchable)",https://m3.material.io/styles/color/roles,,,2026-09-23,search-corroborated
palettes:lib-carbon-purple:1,palettes,lib-carbon-purple,authority,"IBM Carbon color tokens: Gray 100 #161616, Gray 70 #525252, Purple 60 #8a3ffc",https://raw.githubusercontent.com/carbon-design-system/carbon/main/packages/colors/src/dtcg/colors.json,,,2026-09-23,fetched
palettes:lib-fluent-grape:1,palettes,lib-fluent-grape,authority,"Fluent UI shared color tokens: grey14 #242424, grey20 #333333, grey92 #ebebeb, grey94 #f0f0f0, grape (primary) #881798",https://raw.githubusercontent.com/microsoft/fluentui/master/packages/tokens/src/global/colors.ts,,,2026-09-23,fetched
palettes:lib-govuk-orange-brown:1,palettes,lib-govuk-orange-brown,authority,"GOV.UK Design System colours: text #0b0c0c, secondary text #484949, brown (web palette) #99704a",https://design-system.service.gov.uk/styles/colour/,,,2026-09-23,fetched
palettes:lib-uswds-orange:1,palettes,lib-uswds-orange,authority,"USWDS theme tokens: base-darkest #1b1b1b, base-dark #565c65, base-lighter #dfe1e2, base-light #a9aeb1, accent-warm-dark #c05600",https://designsystem.digital.gov/design-tokens/color/theme-tokens/,,,2026-09-23,fetched
palettes:lib-carbon-dark-slide:1,palettes,lib-carbon-dark-slide,authority,"IBM Carbon color tokens (g100 dark theme family): Gray 100 #161616, Gray 10 #f4f4f4, Gray 20 #e0e0e0, Gray 70 #525252, Gray 80 #393939, Blue 60 #0f62fe, White #ffffff",https://raw.githubusercontent.com/carbon-design-system/carbon/main/packages/colors/src/dtcg/colors.json,,,2026-09-23,fetched
palettes:lib-fluent-dark-slide:1,palettes,lib-fluent-dark-slide,authority,"Fluent UI shared color tokens: grey4 #0a0a0a, grey8 #141414, grey14 #242424, grey20 #333333, grey94 #f0f0f0, white #ffffff, blue (primary) #0078d4",https://raw.githubusercontent.com/microsoft/fluentui/master/packages/tokens/src/global/colors.ts,,,2026-09-23,fetched
