prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
palettes:lib-cl-r6-orange:1,palettes,lib-cl-r6-orange,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",6,2026-09-23,fetched
palettes:lib-cl-r14-red:1,palettes,lib-cl-r14-red,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",14,2026-09-23,fetched
palettes:lib-cl-r21-red:1,palettes,lib-cl-r21-red,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",21,2026-09-23,fetched
palettes:lib-cl-r33-neutral:1,palettes,lib-cl-r33-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",33,2026-09-23,fetched
palettes:lib-cl-r49-orange:1,palettes,lib-cl-r49-orange,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",49,2026-09-23,fetched
palettes:lib-cl-r60-neutral:1,palettes,lib-cl-r60-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",60,2026-09-23,fetched
palettes:lib-cl-r65-neutral:1,palettes,lib-cl-r65-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",65,2026-09-23,fetched
palettes:lib-cl-r90-neutral:1,palettes,lib-cl-r90-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",90,2026-09-23,fetched
palettes:lib-cl-r108-red:1,palettes,lib-cl-r108-red,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",108,2026-09-23,fetched
palettes:lib-cl-r116-red:1,palettes,lib-cl-r116-red,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",116,2026-09-23,fetched
palettes:lib-cl-r121-neutral:1,palettes,lib-cl-r121-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",121,2026-09-23,fetched
palettes:lib-cl-r124-neutral:1,palettes,lib-cl-r124-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",124,2026-09-23,fetched
palettes:lib-cl-r134-neutral:1,palettes,lib-cl-r134-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",134,2026-09-23,fetched
palettes:lib-cl-r136-neutral:1,palettes,lib-cl-r136-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",136,2026-09-23,fetched
palettes:lib-cl-r137-neutral:1,palettes,lib-cl-r137-neutral,ranked,"nice-color-palettes (npm; documented as ""top color palettes on ColourLovers.com"")",https://unpkg.com/nice-color-palettes/1000.json,"COLOURlovers top palettes rank (by votes; order preserved from ColourLovers.com popularity, per package README)",137,2026-09-23,fetched
