prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
designs:cover-letter-professional:1,designs,cover-letter-professional,convention,,,,,2026-09-23,
designs:letter-formal:1,designs,letter-formal,convention,,,,,2026-09-23,
designs:memo-internal:1,designs,memo-internal,convention,,,,,2026-09-23,
designs:form-handfilled:1,designs,form-handfilled,convention,,,,,2026-09-23,
designs:brochure-print-marketing:1,designs,brochure-print-marketing,convention,,,,,2026-09-23,
designs:flyer-print-marketing:1,designs,flyer-print-marketing,convention,,,,,2026-09-23,
designs:poster-print-marketing:1,designs,poster-print-marketing,convention,,,,,2026-09-23,
designs:report-classic:1,designs,report-classic,convention,,,,,2026-09-23,
designs:whitepaper-formal:1,designs,whitepaper-formal,convention,,,,,2026-09-23,
designs:proposal-narrative:1,designs,proposal-narrative,convention,,,,,2026-09-23,
designs:quote-devis:1,designs,quote-devis,convention,,,,,2026-09-23,
designs:invoice-tabular:1,designs,invoice-tabular,convention,,,,,2026-09-23,
designs:deck-generic:1,designs,deck-generic,convention,,,,,2026-09-23,
designs:one-pager-restrained:1,designs,one-pager-restrained,convention,,,,,2026-09-23,
designs:infographic-scaffold:1,designs,infographic-scaffold,convention,,,,,2026-09-23,
