prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
type-scales:lib-minor-third-print-print-label:1,type-scales,lib-minor-third-print-print-label,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-print-print-caption:1,type-scales,lib-minor-third-print-print-caption,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-print-print-body:1,type-scales,lib-minor-third-print-print-body,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-print-print-h3:1,type-scales,lib-minor-third-print-print-h3,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-print-print-h2:1,type-scales,lib-minor-third-print-print-h2,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-print-print-h1:1,type-scales,lib-minor-third-print-print-h1,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-label:1,type-scales,lib-minor-third-screen-screen-label,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-caption:1,type-scales,lib-minor-third-screen-screen-caption,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-body:1,type-scales,lib-minor-third-screen-screen-body,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-h3:1,type-scales,lib-minor-third-screen-screen-h3,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-h2:1,type-scales,lib-minor-third-screen-screen-h2,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-screen-screen-h1:1,type-scales,lib-minor-third-screen-screen-h1,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-projection-projection-body-dense:1,type-scales,lib-minor-third-projection-projection-body-dense,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-projection-projection-body:1,type-scales,lib-minor-third-projection-projection-body,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-minor-third-projection-projection-h1:1,type-scales,lib-minor-third-projection-projection-h1,authority,modularscale.com named ratio: minor third 1.2 (5:6),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-label:1,type-scales,lib-major-third-print-print-label,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-caption:1,type-scales,lib-major-third-print-print-caption,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-body:1,type-scales,lib-major-third-print-print-body,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-h3:1,type-scales,lib-major-third-print-print-h3,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-h2:1,type-scales,lib-major-third-print-print-h2,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-print-print-h1:1,type-scales,lib-major-third-print-print-h1,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-label:1,type-scales,lib-major-third-screen-screen-label,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-caption:1,type-scales,lib-major-third-screen-screen-caption,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-body:1,type-scales,lib-major-third-screen-screen-body,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-h3:1,type-scales,lib-major-third-screen-screen-h3,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-h2:1,type-scales,lib-major-third-screen-screen-h2,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-screen-screen-h1:1,type-scales,lib-major-third-screen-screen-h1,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-projection-projection-body-dense:1,type-scales,lib-major-third-projection-projection-body-dense,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-projection-projection-body:1,type-scales,lib-major-third-projection-projection-body,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-major-third-projection-projection-h1:1,type-scales,lib-major-third-projection-projection-h1,authority,modularscale.com named ratio: major third 1.25 (4:5),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-label:1,type-scales,lib-perfect-fourth-print-print-label,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-caption:1,type-scales,lib-perfect-fourth-print-print-caption,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-body:1,type-scales,lib-perfect-fourth-print-print-body,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-h3:1,type-scales,lib-perfect-fourth-print-print-h3,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-h2:1,type-scales,lib-perfect-fourth-print-print-h2,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-print-print-h1:1,type-scales,lib-perfect-fourth-print-print-h1,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-label:1,type-scales,lib-perfect-fourth-screen-screen-label,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-caption:1,type-scales,lib-perfect-fourth-screen-screen-caption,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-body:1,type-scales,lib-perfect-fourth-screen-screen-body,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-h3:1,type-scales,lib-perfect-fourth-screen-screen-h3,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-h2:1,type-scales,lib-perfect-fourth-screen-screen-h2,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-screen-screen-h1:1,type-scales,lib-perfect-fourth-screen-screen-h1,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
type-scales:lib-perfect-fourth-projection-projection-body-dense:1,type-scales,lib-perfect-fourth-projection-projection-body-dense,authority,modularscale.com named ratio: perfect fourth 1.333 (3:4),https://www.modularscale.com/,,,2026-09-23,fetched
