prov_key,Table,Row Key,Evidence Class,Source Name,Source URL,Ranking Metric,Rank Value,Retrieved,Fetch
typefaces:lib-roboto:1,typefaces,lib-roboto,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Roboto,2,2026-09-23,fetched
typefaces:lib-open-sans:1,typefaces,lib-open-sans,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Open Sans,3,2026-09-23,fetched
typefaces:lib-inter:1,typefaces,lib-inter,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Inter,5,2026-09-23,fetched
typefaces:lib-lato:1,typefaces,lib-lato,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Lato,9,2026-09-23,fetched
typefaces:lib-montserrat:1,typefaces,lib-montserrat,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Montserrat,7,2026-09-23,fetched
typefaces:lib-poppins:1,typefaces,lib-poppins,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Poppins,8,2026-09-23,fetched
typefaces:lib-noto-sans:1,typefaces,lib-noto-sans,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Noto Sans,20,2026-09-23,fetched
typefaces:lib-noto-serif-noto-sans:1,typefaces,lib-noto-serif-noto-sans,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Noto Serif,61,2026-09-23,fetched
typefaces:lib-noto-serif-noto-sans:2,typefaces,lib-noto-serif-noto-sans,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Noto Sans,20,2026-09-23,fetched
typefaces:lib-noto-serif-noto-sans:3,typefaces,lib-noto-serif-noto-sans,authority,Wikipedia – Noto fonts,https://en.wikipedia.org/wiki/Noto_fonts,Publisher-documented companion (one Google-commissioned unified project spanning serif and sans),,2026-09-23,fetched
typefaces:lib-roboto-serif-roboto:1,typefaces,lib-roboto-serif-roboto,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Roboto Serif,181,2026-09-23,fetched
typefaces:lib-roboto-serif-roboto:2,typefaces,lib-roboto-serif-roboto,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Roboto,2,2026-09-23,fetched
typefaces:lib-roboto-serif-roboto:3,typefaces,lib-roboto-serif-roboto,authority,fonts.withgoogle.com – Roboto Serif,https://fonts.withgoogle.com/roboto-serif,"Publisher-documented companion (""latest addition to the Roboto superfamily"" that ""pairs well with the sans-serif versions of Roboto"")",,2026-09-23,fetched
typefaces:lib-merriweather-merriweather-sans:1,typefaces,lib-merriweather-merriweather-sans,ranked,Google Fonts metadata API (popularity field),https://fonts.google.com/metadata/fonts,Google Fonts popularity rank (metadata/fonts popularity field) — family: Merriweather,33,2026-09-23,fetched
