cv_region_key,region_key,Seniority Band,Max Pages,Photo,Date of Birth,Nationality,Marital Status,Visa Status,Section Order,Education Before Experience,Format,Language Expectation,Evidence Class
us-early,us,early,1,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact;summary;education;experience;skills,yes,reverse-chronological,English,CONVENTION
us-experienced,us,experienced,2,negative-signal,negative-signal,negative-signal,negative-signal,negative-signal,contact;summary;experience;education;skills;certifications,no,reverse-chronological,English,CONVENTION
uk-early,uk,early,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact;summary;education;experience;skills,yes,reverse-chronological,English,CONVENTION
uk-experienced,uk,experienced,2,negative-signal,negative-signal,neutral,negative-signal,neutral,contact;summary;experience;education;skills,no,reverse-chronological,English,CONVENTION
eu-generic-early,eu-generic,early,2,customary,customary,customary,contested,customary,contact;summary;education;experience;skills;languages,yes,reverse-chronological,local language of target country; English for multinational/international roles,CONVENTION
eu-generic-experienced,eu-generic,experienced,2,customary,customary,customary,contested,customary,contact;summary;experience;education;skills;languages,no,reverse-chronological,local language of target country; English for multinational/international roles,CONVENTION
eu-europass-early,eu-europass,early,2,contested,contested,customary,contested,customary,contact;education;experience;languages;skills,yes,reverse-chronological,varies; Europass tool generates multi-language versions,CONVENTION
eu-europass-experienced,eu-europass,experienced,3,contested,contested,customary,contested,customary,contact;experience;education;languages;skills,no,reverse-chronological,varies; Europass tool generates multi-language versions,CONVENTION
dach-early,dach,early,2,customary,customary,customary,contested,customary,contact;education;experience;skills,yes,reverse-chronological,German (Austria/Germany); German/French/Italian region-dependent for Switzerland,CONVENTION
dach-experienced,dach,experienced,2,customary,customary,customary,contested,customary,contact;experience;education;skills,no,reverse-chronological,German (Austria/Germany); German/French/Italian region-dependent for Switzerland,CONVENTION
france-early,france,early,1,contested,contested,contested,contested,customary,contact;summary;education;experience;skills,yes,reverse-chronological,French (English acceptable for international/multinational roles),CONVENTION
france-experienced,france,experienced,2,contested,contested,contested,contested,customary,contact;summary;experience;education;skills,no,reverse-chronological,French (English acceptable for international/multinational roles),CONVENTION
gulf-gcc-early,gulf-gcc,early,2,customary,customary,customary,customary,customary,contact;summary;education;experience;skills,yes,reverse-chronological,English standard for multinational/private-sector roles; Arabic for government/local-market roles,CONVENTION
gulf-gcc-experienced,gulf-gcc,experienced,2,customary,customary,customary,customary,customary,contact;summary;experience;education;skills,no,reverse-chronological,English standard for multinational/private-sector roles; Arabic for government/local-market roles,CONVENTION
