structure_key,Display Name,Section Order,Heading Language,Heading Depth Max,TOC Depth,Front Matter Numbering,Caption Position,Cross-Ref Style
brochure-3panel,Brochure -- tri-fold 3-panel,,en,1,0,none,fig=below;table=above,numbered
brochure-gatefold,Brochure -- gate-fold,,en,1,0,none,fig=below;table=above,numbered
cover-letter-standard,Cover letter -- standard,,en,0,0,none,fig=below;table=above,numbered
cv-academic,CV -- academic / scientific,contact;summary;education;publications;experience;projects;certifications;skills;languages;references,en,2,0,none,fig=below;table=above,numbered
cv-experienced,CV -- experienced hire,contact;summary;experience;education;skills;certifications;projects;publications,en,2,0,none,fig=below;table=above,numbered
deck-standard,Slide deck -- standard,,en,1,0,none,fig=below;table=above,numbered
flyer-single-sheet,Flyer -- single sheet,,en,1,0,none,fig=below;table=above,numbered
form-standard,Form -- standard,,en,1,0,none,fig=below;table=above,numbered
invoice-standard,Invoice -- standard,,en,1,0,none,fig=below;table=above,numbered
letter-standard,Letter -- formal business,,en,0,0,none,fig=below;table=above,numbered
memo-standard,Memo -- internal,,en,1,0,none,fig=below;table=above,numbered
one-pager-standard,One-pager -- standard,,en,2,0,none,fig=below;table=above,numbered
poster-single-canvas,Poster -- single canvas,,en,1,0,none,fig=below;table=above,numbered
proposal-standard,Proposal -- narrative,,en,3,0,none,fig=below;table=above,numbered
report-long-toc,Report -- long-form with TOC,,en,3,2,roman,fig=below;table=above,numbered
report-short,Report -- short,,en,2,0,none,fig=below;table=above,numbered
whitepaper-standard,Whitepaper -- standard,,en,3,0,none,fig=below;table=above,numbered
